Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
26	89	50.000000	2.000000	0.050960	2.471271	27.573208	4.366039e-31	-0.002489	-0.225743	0.822360
26	90	50.000000	2.000000	0.174196	4.586834	17.000469	5.986449e-22	0.013852	0.417368	0.678270
26	91	50.000000	2.000000	1.571124	7.160065	63.344654	6.387065e-48	-0.017429	-1.253445	0.216115
26	92	50.000000	2.000000	0.268866	5.481575	45.043823	6.244742e-41	-0.007762	-0.518523	0.606476
26	93	50.000000	2.000000	0.681767	7.426176	61.403522	2.794795e-47	-0.012284	-0.825692	0.413064
26	94	50.000000	2.000000	0.397920	5.845706	43.581528	2.933551e-40	-0.010408	-0.630810	0.531157
26	95	50.000000	2.000000	0.126777	6.129714	86.828262	1.942165e-54	-0.003092	-0.356057	0.723358
26	96	50.000000	2.000000	3.742863	3.278026	18.755068	9.827799e-24	0.041596	1.934648	0.058939
26	97	50.000000	2.000000	2.239972	10.402431	97.031937	9.660475e-57	-0.019738	-1.496655	0.141030
26	98	50.000000	2.000000	3.933701	5.568162	36.476795	1.175005e-36	-0.037243	-1.983356	0.053064
26	99	50.000000	2.000000	0.000002	4.839509	23.731989	3.608656e-28	0.000036	0.001419	0.998874
27	0	50.000000	2.000000	0.000685	5.619270	26.505543	2.591685e-30	-0.000796	-0.026171	0.979229
27	1	50.000000	2.000000	1.048495	5.257010	22.201693	6.809016e-27	-0.034805	-1.023961	0.310987
27	2	50.000000	2.000000	0.519469	3.531726	19.298195	2.921802e-24	-0.018934	-0.720741	0.474564
27	3	50.000000	2.000000	2.880596	4.409763	19.077986	4.762624e-24	-0.056315	-1.697231	0.096129
27	4	50.000000	2.000000	2.548418	8.630193	13.569715	4.775739e-18	-0.145743	-1.596376	0.116968
27	5	50.000000	2.000000	0.163469	2.992166	17.052433	5.277230e-22	-0.010184	-0.404313	0.687778
27	6	50.000000	2.000000	0.006479	4.346813	14.190996	8.479304e-19	-0.003539	-0.080490	0.936182
27	7	50.000000	2.000000	0.014968	4.901867	29.432062	2.262358e-32	0.002925	0.122344	0.903137
27	8	50.000000	2.000000	2.744977	4.894751	21.099861	6.273472e-26	-0.055173	-1.656797	0.104084
27	9	50.000000	2.000000	0.004300	4.405935	16.544285	1.833010e-21	-0.002507	-0.065574	0.947989
27	10	50.000000	2.000000	0.020741	5.843286	21.533777	2.587609e-26	-0.005610	-0.144016	0.886091
27	11	50.000000	2.000000	4.608284	6.916565	41.934063	1.780515e-39	-0.050827	-2.146691	0.036900
27	12	50.000000	2.000000	2.497893	3.608036	13.794278	2.542929e-18	-0.059342	-1.580472	0.120567
27	13	50.000000	2.000000	0.918403	3.683401	18.105652	4.343987e-23	-0.027987	-0.958333	0.342697
27	14	50.000000	2.000000	3.753980	1.611237	7.008223	7.142783e-09	0.063944	1.937519	0.058578
27	15	50.000000	2.000000	0.044533	2.409256	7.526989	1.150083e-09	-0.009696	-0.211029	0.833758
27	16	50.000000	2.000000	4.846995	2.690615	11.021058	9.548842e-15	0.077156	2.201589	0.032534
