Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00272	LINC00320	-0.000562	-0.278871	0.277834	-0.003897
LINC00272	LINC00322	0.882599	0.801041	0.931987	13.006759
LINC00272	LINC00324	0.213468	-0.068984	0.464236	1.513842
LINC00272	LINC00326	0.810061	0.686503	0.888151	9.571602
LINC00272	LINC00327	0.792146	0.659129	0.877101	8.992081
LINC00272	LINC00330	0.327799	0.054411	0.555468	2.403875
LINC00272	LINC00331	0.202969	-0.079897	0.455583	1.436103
LINC00272	LINC00332	0.149684	-0.134263	0.410916	1.048857
LINC00272	LINC00334	0.638683	0.438241	0.778614	5.750617
LINC00272	LINC00337	0.021361	-0.258529	0.297942	0.148026
LINC00272	LINC00339	0.230636	-0.050990	0.478284	1.642166
LINC00272	LINC00342	0.787988	0.652825	0.874524	8.867010
LINC00272	LINC00343	0.538316	0.305782	0.710244	4.425501
LINC00272	LINC00345	0.910665	0.847021	0.948569	15.271338
LINC00272	LINC00346	0.438317	0.182193	0.638739	3.378590
LINC00272	LINC00347	0.801300	0.673071	0.882758	9.279469
LINC00272	LINC00348	0.893518	0.818816	0.938463	13.786410
LINC00272	LINC00350	0.019278	-0.260472	0.296042	0.133589
LINC00272	LINC00351	0.714482	0.544398	0.828136	7.075033
LINC00272	LINC00353	0.862073	0.768014	0.919728	11.785349
LINC00272	LINC00354	0.782128	0.643973	0.870883	8.696176
LINC00272	LINC00355	0.598796	0.384537	0.751835	5.179890
LINC00272	LINC00358	0.978309	0.961895	0.987697	32.719952
LINC00272	LINC00362	0.295505	0.018690	0.530243	2.143023
LINC00272	LINC00363	0.891831	0.816061	0.937464	13.658773
LINC00272	LINC00364	0.542187	0.310730	0.712943	4.470512
LINC00272	LINC00365	0.898791	0.827451	0.941579	14.204681
LINC00272	LINC00366	-0.238126	-0.484373	0.043082	-1.698648
LINC00272	LINC00368	0.551784	0.323048	0.719611	4.583846
LINC00272	LINC00370	0.450054	0.196292	0.647315	3.491672
LINC00272	LINC00374	0.763901	0.616674	0.859496	8.201117
LINC00272	LINC00375	0.861053	0.766384	0.919115	11.731301
LINC00272	LINC00376	0.941409	0.898504	0.966497	19.338682
LINC00272	LINC00377	0.735931	0.575461	0.841835	7.530657
LINC00272	LINC00379	0.844757	0.740533	0.909297	10.936455
LINC00272	LINC00380	0.765348	0.618828	0.860403	8.238569
LINC00272	LINC00381	0.212041	-0.070471	0.463062	1.503244
LINC00272	LINC00382	0.013112	-0.266212	0.290404	0.090849
LINC00272	LINC00383	0.465873	0.215461	0.658795	3.647689
LINC00272	LINC00384	0.114357	-0.169387	0.380595	0.797521
LINC00272	LINC00385	0.839271	0.731900	0.905976	10.694309
LINC00272	LINC00388	0.332499	0.059669	0.559105	2.442596
LINC00272	LINC00390	0.516279	0.277857	0.694786	4.176554
LINC00272	LINC00391	0.592750	0.376521	0.747732	5.099037
LINC00272	LINC00392	0.027870	-0.252441	0.303865	0.193165
LINC00272	LINC00393	-0.226444	-0.474865	0.055401	-1.610687
LINC00272	LINC00397	-0.006210	-0.284071	0.272614	-0.043024
LINC00272	LINC00398	0.139526	-0.144436	0.402256	0.976214
LINC00272	LINC00399	0.232846	-0.048660	0.480083	1.658802
LINC00272	LINC00400	0.825849	0.710921	0.897815	10.146735
LINC00272	LINC00402	0.024757	-0.255356	0.301035	0.171572
LINC00272	LINC00404	0.805655	0.679738	0.885442	9.422501
LINC00272	LINC00408	0.888738	0.811017	0.935632	13.431834
LINC00272	LINC00411	0.774021	0.631788	0.865830	8.469553
LINC00272	LINC00412	0.935214	0.888034	0.962904	18.298973
LINC00272	LINC00421	0.672543	0.484981	0.800954	6.296146
LINC00272	LINC00423	0.661301	0.469342	0.793576	6.107852
LINC00272	LINC00424	0.735850	0.575343	0.841784	7.528857
LINC00272	LINC00426	-0.268463	-0.508794	0.010689	-1.930844
LINC00272	LINC00430	0.617485	0.409520	0.764446	5.438796
LINC00272	LINC00431	0.047220	-0.234211	0.321349	0.327513
LINC00272	LINC00433	0.183046	-0.100423	0.439030	1.289978
LINC00272	LINC00437	0.376642	0.109800	0.592841	2.816887
LINC00272	LINC00440	0.208107	-0.074565	0.459823	1.474080
LINC00272	LINC00442	0.905118	0.837857	0.945308	14.749383
LINC00272	LINC00443	0.000643	-0.277759	0.278946	0.004455
LINC00272	LINC00445	0.733849	0.572426	0.840512	7.484420
LINC00272	LINC00446	0.060340	-0.221736	0.333098	0.418813
LINC00272	LINC00448	0.842039	0.736252	0.907652	10.815043
LINC00272	LINC00449	0.725252	0.559938	0.835032	7.298210
LINC00272	LINC00454	0.764263	0.617213	0.859723	8.210463
LINC00272	LINC00456	0.695200	0.516867	0.815705	6.700579
LINC00272	LINC00457	0.763750	0.616450	0.859401	8.197236
LINC00272	LINC00458	0.109838	-0.173829	0.376675	0.765615
LINC00272	LINC00459	0.140054	-0.143909	0.402707	0.979983
LINC00273	LINC00276	-0.131106	-0.395042	0.152823	-0.916239
