##The total sample size of case group is 25.
##The total sample size of control group is 25.
Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
57	97	0.681670	0.392162	0.848312	4.468157	25	0.213201	0.263178	-0.147275	0.596305	1.308279	25	0.213201	1.866285	0.062002
57	98	0.360769	-0.040082	0.661594	1.855122	25	0.213201	0.345902	-0.057030	0.651934	1.768029	25	0.213201	0.056344	0.955068
57	99	0.580769	0.240919	0.793753	3.421422	25	0.213201	-0.131204	-0.500399	0.278365	-0.634721	25	0.213201	2.638666	0.008323
58	59	0.866923	0.717603	0.940045	8.341227	25	0.213201	0.741538	0.489966	0.879093	5.300699	25	0.213201	1.216111	0.223943
58	60	0.835385	0.657175	0.925141	7.288726	25	0.213201	0.816154	0.621420	0.915915	6.773799	25	0.213201	0.200690	0.840941
58	61	0.738462	0.484780	0.877539	5.252203	25	0.213201	0.740000	0.487371	0.878316	5.276359	25	0.213201	-0.011251	0.991024
58	62	0.126154	-0.283095	0.496540	0.609885	25	0.213201	-0.131948	-0.500967	0.277666	-0.638384	25	0.213201	0.860836	0.389328
58	63	0.796154	0.585075	0.906207	6.310124	25	0.213201	0.469231	0.090958	0.729172	2.548312	25	0.213201	1.920111	0.054844
58	64	0.753077	0.509572	0.884897	5.489363	25	0.213201	0.586923	0.249693	0.797182	3.476576	25	0.213201	1.018423	0.308477
58	65	0.916154	0.816649	0.962764	10.961641	25	0.213201	0.783846	0.563123	0.900175	6.053890	25	0.213201	1.689083	0.091204
58	66	0.693077	0.410306	0.854265	4.610970	25	0.213201	0.284615	-0.124526	0.611035	1.423856	25	0.213201	1.861142	0.062724
58	67	0.722308	0.457844	0.869329	5.008975	25	0.213201	0.661538	0.360683	0.837702	4.230670	25	0.213201	0.387743	0.698206
58	68	0.544615	0.190466	0.773333	3.114257	25	0.213201	0.599231	0.267410	0.803999	3.589676	25	0.213201	-0.269483	0.787558
58	69	0.273846	-0.136008	0.603663	1.365519	25	0.213201	-0.208462	-0.557664	0.203433	-1.022204	25	0.213201	1.633702	0.102322
58	70	0.453846	0.071538	0.719885	2.442620	25	0.213201	0.367692	-0.032110	0.666059	1.896226	25	0.213201	0.344204	0.730693
58	71	0.520769	0.158182	0.759600	2.925535	25	0.213201	0.512308	0.146910	0.754675	2.860894	25	0.213201	0.038277	0.969467
58	72	0.776923	0.550910	0.896762	5.918072	25	0.213201	0.506923	0.139785	0.751526	2.820351	25	0.213201	1.588600	0.112151
58	73	0.636661	0.322706	0.824404	3.959466	25	0.213201	0.363531	-0.036907	0.663378	1.871479	25	0.213201	1.232422	0.217791
58	74	0.800923	0.593666	0.908533	6.415004	25	0.213201	0.560000	0.211709	0.782081	3.241629	25	0.213201	1.553338	0.120343
58	75	0.582147	0.242878	0.794522	3.433693	25	0.213201	0.363077	-0.037430	0.663085	1.868783	25	0.213201	0.946162	0.344066
58	76	0.657692	0.354746	0.835660	4.187226	25	0.213201	0.453164	0.070683	0.719471	2.437999	25	0.213201	0.995189	0.319644
58	77	0.711538	0.440152	0.863811	4.856518	25	0.213201	0.322308	-0.083459	0.636396	1.632872	25	0.213201	1.844285	0.065142
58	78	0.568462	0.223535	0.786855	3.313739	25	0.213201	-0.148462	-0.513477	0.262048	-0.719975	25	0.213201	2.636099	0.008387
58	79	0.918462	0.821440	0.963813	11.136973	25	0.213201	0.722308	0.457844	0.869329	5.008975	25	0.213201	2.211024	0.027034
58	80	0.770000	0.538794	0.893335	5.787674	25	0.213201	0.735385	0.479612	0.875981	5.204429	25	0.213201	0.265244	0.790821
58	81	0.720000	0.454035	0.868150	4.975689	25	0.213201	0.626154	0.306965	0.818725	3.851392	25	0.213201	0.572386	0.567061
58	82	0.611538	0.285355	0.810762	3.706751	25	0.213201	0.447692	0.063850	0.716144	2.401126	25	0.213201	0.761380	0.446430
58	83	0.186154	-0.225576	0.541463	0.908645	25	0.213201	0.066154	-0.337814	0.449540	0.317959	25	0.213201	0.404958	0.685508
