Marker1	Marker2	group1_spearman	group1_lower	group1_upper	group1_t	group1_n	group1_se	group2_spearman	group2_lower	group2_upper	group2_t	group2_n	group2_se	z_test	z_pvalue
LINC00269	LINC00454	0.711538	0.440152	0.863811	4.856518	25	0.213201	0.350452	-0.051868	0.654901	1.794516	25	0.213201	1.739019	0.082031
LINC00269	LINC00456	0.758462	0.518810	0.887591	5.581332	25	0.213201	-0.142308	-0.508833	0.267894	-0.689501	25	0.213201	3.767232	0.000165
LINC00269	LINC00457	0.661281	0.360285	0.837565	4.227744	25	0.213201	-0.206923	-0.556555	0.204974	-1.014321	25	0.213201	3.333345	0.000858
LINC00269	LINC00458	0.333846	-0.070605	0.644027	1.698518	25	0.213201	0.113077	-0.295253	0.486478	0.545799	25	0.213201	0.774724	0.438503
LINC00269	LINC00459	0.741538	0.489966	0.879093	5.300699	25	0.213201	0.490769	0.118638	0.742014	2.701337	25	0.213201	1.382421	0.166843
LINC00271	LINC00272	0.661538	0.360683	0.837702	4.230670	25	0.213201	0.132333	-0.277304	0.501260	0.640279	25	0.213201	2.197034	0.028018
LINC00271	LINC00273	0.536154	0.178922	0.768484	3.046134	25	0.213201	0.453846	0.071538	0.719885	2.442620	25	0.213201	0.362204	0.717200
LINC00271	LINC00276	-0.316154	-0.632302	0.090259	-1.598195	25	0.213201	-0.391538	-0.681275	0.004258	-2.040677	25	0.213201	0.286051	0.774839
LINC00271	LINC00278	0.008848	-0.387645	0.402578	0.042434	25	0.213201	0.332308	-0.072327	0.643013	1.689717	25	0.213201	-1.116283	0.264301
LINC00271	LINC00280	-0.078462	-0.459357	0.326808	-0.377452	25	0.213201	0.136154	-0.273709	0.504167	0.659109	25	0.213201	-0.715156	0.474512
LINC00271	LINC00290	0.296154	-0.112102	0.618870	1.487011	25	0.213201	0.414310	0.022926	0.695575	2.183151	25	0.213201	-0.449421	0.653128
LINC00271	LINC00293	0.588462	0.251896	0.798037	3.490506	25	0.213201	0.592308	0.257417	0.800171	3.525588	25	0.213201	-0.019582	0.984377
LINC00271	LINC00294	0.698981	0.419785	0.857329	4.687460	25	0.213201	0.551260	0.199600	0.777122	3.168696	25	0.213201	0.812955	0.416244
LINC00271	LINC00297	0.765385	0.530769	0.891042	5.703556	25	0.213201	0.660769	0.359494	0.837294	4.221934	25	0.213201	0.712777	0.475984
LINC00271	LINC00298	-0.014615	-0.407400	0.382732	-0.070100	25	0.213201	0.157692	-0.253223	0.520403	0.765848	25	0.213201	-0.575884	0.564693
LINC00271	LINC00299	-0.313846	-0.630761	0.092800	-1.585250	25	0.213201	-0.368532	-0.666599	0.031140	-1.901238	25	0.213201	0.205358	0.837293
LINC00271	LINC00301	0.375385	-0.023193	0.670994	1.942325	25	0.213201	0.447692	0.063850	0.716144	2.401126	25	0.213201	-0.288991	0.772588
LINC00271	LINC00303	0.496154	0.125650	0.745196	2.740584	25	0.213201	0.700000	0.421428	0.857857	4.700855	25	0.213201	-1.071633	0.283885
LINC00271	LINC00304	0.640000	0.327745	0.826201	3.994576	25	0.213201	0.534615	0.176833	0.767600	3.033889	25	0.213201	0.535928	0.592009
LINC00271	LINC00305	0.689231	0.404164	0.852262	4.562103	25	0.213201	0.366609	-0.033361	0.665361	1.889770	25	0.213201	1.532244	0.125462
LINC00271	LINC00308	0.171187	-0.240198	0.530444	0.833283	25	0.213201	0.315830	-0.090616	0.632086	1.596377	25	0.213201	-0.511156	0.609242
LINC00271	LINC00309	0.834615	0.655730	0.924774	7.266584	25	0.213201	0.613077	0.287614	0.811604	3.721680	25	0.213201	1.622897	0.104611
LINC00271	LINC00310	0.541538	0.186257	0.771573	3.089332	25	0.213201	0.266154	-0.144143	0.598363	1.324192	25	0.213201	1.106460	0.268528
LINC00271	LINC00311	0.674615	0.381054	0.844609	4.382926	25	0.213201	0.585385	0.247495	0.796326	3.462703	25	0.213201	0.492685	0.622236
LINC00271	LINC00313	0.328462	-0.076620	0.640473	1.667779	25	0.213201	0.540000	0.184157	0.770692	3.076936	25	0.213201	-0.872448	0.382964
LINC00271	LINC00314	0.811538	0.612958	0.913685	6.660976	25	0.213201	0.628198	0.310013	0.819833	3.872137	25	0.213201	1.303717	0.192330
LINC00271	LINC00315	0.671286	0.375840	0.842856	4.343470	25	0.213201	0.841538	0.668789	0.928071	7.471117	25	0.213201	-1.370902	0.170406
LINC00271	LINC00319	0.811538	0.612958	0.913685	6.660976	25	0.213201	0.805385	0.601745	0.910702	6.516191	25	0.213201	0.058926	0.953011
LINC00271	LINC00320	0.331538	-0.073187	0.642506	1.685322	25	0.213201	0.350000	-0.052382	0.654607	1.791878	25	0.213201	-0.069278	0.944768
LINC00271	LINC00322	0.785385	0.565850	0.900932	6.084851	25	0.213201	0.816154	0.621420	0.915915	6.773799	25	0.213201	-0.284957	0.775677
LINC00271	LINC00324	0.388462	-0.007886	0.679325	2.021776	25	0.213201	0.513274	0.148193	0.755239	2.868221	25	0.213201	-0.521302	0.602157
LINC00271	LINC00326	0.757692	0.517487	0.887207	5.568034	25	0.213201	0.638462	0.325421	0.825374	3.978353	25	0.213201	0.780077	0.435345
LINC00271	LINC00327	0.668462	0.371432	0.841366	4.310378	25	0.213201	0.580000	0.239826	0.793324	3.414591	25	0.213201	0.482549	0.629416
LINC00271	LINC00330	0.365070	-0.035136	0.664370	1.880615	25	0.213201	0.494421	0.123390	0.744174	2.727909	25	0.213201	-0.527912	0.597560
LINC00271	LINC00331	0.250962	-0.160046	0.587810	1.243365	25	0.213201	0.477692	0.101763	0.734239	2.607696	25	0.213201	-0.874098	0.382065
LINC00271	LINC00332	0.193846	-0.217988	0.547080	0.947628	25	0.213201	0.406154	0.013123	0.690479	2.131577	25	0.213201	-0.778300	0.436392
LINC00271	LINC00334	0.872308	0.728150	0.942562	8.555841	25	0.213201	0.885940	0.755159	0.948898	9.160870	25	0.213201	-0.199246	0.842071
LINC00271	LINC00337	0.545385	0.191520	0.773773	3.120516	25	0.213201	0.725385	0.462937	0.870899	5.053902	25	0.213201	-1.018631	0.308378
LINC00271	LINC00339	0.711538	0.440152	0.863811	4.856518	25	0.213201	0.728462	0.468048	0.872466	5.099470	25	0.213201	-0.116575	0.907197
LINC00271	LINC00342	0.778996	0.554557	0.897786	5.958151	25	0.213201	0.835385	0.657175	0.925141	7.288726	25	0.213201	-0.540235	0.589035
LINC00271	LINC00343	0.865385	0.714603	0.939324	8.282122	25	0.213201	0.526923	0.166440	0.763164	2.973286	25	0.213201	2.416243	0.015682
LINC00271	LINC00345	0.529231	0.169549	0.764497	2.991359	25	0.213201	0.196154	-0.215702	0.548758	0.959358	25	0.213201	1.294633	0.195447
LINC00271	LINC00346	0.716923	0.448972	0.866575	4.931838	25	0.213201	0.723077	0.459116	0.869722	5.020148	25	0.213201	-0.042381	0.966195
LINC00271	LINC00347	0.659231	0.357118	0.836477	4.204534	25	0.213201	0.600000	0.268525	0.804423	3.596874	25	0.213201	0.326040	0.744394
LINC00271	LINC00348	0.740769	0.488668	0.878705	5.288506	25	0.213201	0.641662	0.330260	0.827094	4.012193	25	0.213201	0.634099	0.526016
LINC00271	LINC00350	0.076154	-0.328880	0.457524	0.366285	25	0.213201	0.498462	0.128666	0.746557	2.757533	25	0.213201	-1.561982	0.118292
LINC00271	LINC00351	0.785385	0.565850	0.900932	6.084851	25	0.213201	0.450000	0.066728	0.717549	2.416635	25	0.213201	1.905635	0.056698
LINC00271	LINC00353	0.886923	0.757125	0.949353	9.208434	25	0.213201	0.852308	0.689318	0.933173	7.814925	25	0.213201	0.473578	0.635801
LINC00271	LINC00354	0.805385	0.601745	0.910702	6.516191	25	0.213201	0.753606	0.510478	0.885162	5.498291	25	0.213201	0.439460	0.660328
LINC00271	LINC00355	0.802308	0.596169	0.909207	6.446077	25	0.213201	0.676923	0.384679	0.845822	4.410560	25	0.213201	0.934103	0.350251
LINC00271	LINC00358	0.790769	0.575433	0.903574	6.195568	25	0.213201	0.670000	0.373832	0.842178	4.328362	25	0.213201	0.871404	0.383534
LINC00271	LINC00362	0.376923	-0.021402	0.671978	1.951601	25	0.213201	0.243846	-0.167423	0.582827	1.205845	25	0.213201	0.489563	0.624443
LINC00271	LINC00363	0.753077	0.509572	0.884897	5.489363	25	0.213201	0.666923	0.369037	0.840553	4.292494	25	0.213201	0.579894	0.561986
LINC00271	LINC00364	0.368462	-0.031221	0.666553	1.900815	25	0.213201	0.277692	-0.131920	0.606302	1.386288	25	0.213201	0.336511	0.736485
LINC00271	LINC00365	0.511538	0.145889	0.754226	2.855074	25	0.213201	0.056923	-0.345997	0.442116	0.273437	25	0.213201	1.684270	0.092129
