Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
hsa-miR-1	ABCD3	48	5	0.979413	5.999095	18.802376	2.307235e-22	-0.033287	-0.676615	0.502274	-0.039724	-1.477555	0.146814	-0.650612	-1.208555	0.233438	2.628793	1.008165	0.319015
hsa-miR-1	ABCD4	48	5	1.279923	6.024858	32.554653	6.262852e-32	-0.053625	-1.879217	0.067003	0.021454	1.375762	0.176019	-0.089777	-0.287507	0.775106	-0.568269	-0.375724	0.70897
hsa-miR-1	ABCE1	48	5	1.239036	6.966909	15.97628	1.074571e-19	-0.037708	-0.560809	0.577839	-0.042002	-1.143046	0.259344	0.540058	0.733996	0.466935	2.675608	0.750769	0.456881
hsa-miR-1	ABCF1	48	5	0.463474	8.365598	24.881521	3.685099e-27	-0.060419	-1.165461	0.250257	0.001537	0.054246	0.95699	-0.294547	-0.51922	0.606269	-0.396407	-0.144268	0.885963
hsa-miR-1	ABCF2	48	5	1.993441	6.607411	19.498695	5.671816e-23	-0.120519	-2.306619	0.025959	-0.016129	-0.564874	0.575095	-0.707318	-1.237104	0.222762	-0.033457	-0.012081	0.990417
hsa-miR-1	ABCF3	48	5	0.800662	7.111879	32.130295	1.07731e-31	-0.042984	-1.259447	0.214662	-0.008297	-0.44485	0.658659	-0.289824	-0.776037	0.441975	-0.461221	-0.254969	0.799962
hsa-miR-1	ABCG1	48	5	1.223852	6.538177	13.393358	6.081132e-17	-0.034613	-0.459849	0.647941	0.069445	1.688235	0.098607	-0.599643	-0.728019	0.470548	4.787957	1.200138	0.236656
hsa-miR-1	ABCG2	48	5	0.321497	4.221035	3.933614	3e-04	0.085955	0.519504	0.606073	0.005666	0.062668	0.950322	0.426932	0.235803	0.814705	5.605587	0.639208	0.526079
hsa-miR-1	ABCG4	48	5	2.000876	5.288251	17.529085	3.347507e-21	0.033182	0.713342	0.479488	-0.034294	-1.349027	0.18439	-1.2612	-2.477699	0.017229	2.992981	1.213946	0.231394
hsa-miR-1	ABCG5	48	5	1.142463	2.87181	6.685668	3.676678e-08	0.035981	0.54326	0.589756	-0.049487	-1.36721	0.178664	1.021403	1.4093	0.165938	-3.272013	-0.932078	0.3565
hsa-miR-1	ABCG8	48	5	0.676208	4.114073	9.217275	9.648565e-12	0.039309	0.571179	0.570852	-0.030686	-0.815885	0.419063	0.602141	0.799551	0.428366	1.467328	0.402259	0.689486
hsa-miR-1	ABHD1	48	5	4.707027	4.100291	13.61246	3.447597e-17	-0.033809	-0.727952	0.470588	0.021594	0.850786	0.399601	0.402234	0.79144	0.433032	-9.381916	-3.811199	0.000436
hsa-miR-1	ABHD10	48	5	0.301506	6.193693	13.290462	7.954329e-17	0.064969	0.904148	0.370955	-0.01026	-0.261273	0.795129	0.33404	0.424821	0.673085	0.60866	0.159813	0.873776
hsa-miR-1	ABHD11	48	5	1.291532	5.601941	26.669947	2.225315e-28	0.066467	2.052287	0.046261	0.006222	0.351543	0.726898	0.078948	0.222764	0.824774	0.418173	0.243606	0.808694
hsa-miR-1	ABHD12	48	5	0.855382	5.327626	14.725213	2.10744e-18	-0.055629	-0.99718	0.324256	0.010836	0.355436	0.724001	0.208146	0.340968	0.734788	3.022815	1.022321	0.312346
hsa-miR-1	ABHD12B	48	5	2.506161	2.516499	11.551693	9.076685e-15	0.000403	0.011987	0.990492	-0.046739	-2.546195	0.014555	0.006261	0.017035	0.986487	2.686317	1.508878	0.138643
hsa-miR-1	ABHD13	48	5	0.663165	4.726936	6.513432	6.544468e-08	0.008934	0.079836	0.936738	-0.069259	-1.132573	0.26367	0.431575	0.352455	0.726219	3.937055	0.663819	0.51035
hsa-miR-1	ABHD14A	48	5	0.297875	7.246644	23.48613	3.732462e-26	-0.03164	-0.665046	0.509572	-0.009547	-0.367203	0.715269	-0.454273	-0.872587	0.387735	1.31278	0.520612	0.605307
hsa-miR-1	ABHD14A-ACY1	48	5	1.65997	5.466695	17.543474	3.245164e-21	-0.02429	-0.50555	0.615755	0.059998	2.284982	0.027307	0.581718	1.106421	0.274696	-3.618109	-1.420759	0.162598
hsa-miR-1	ABHD14B	48	5	0.549055	7.526397	23.495472	3.673614e-26	-0.027894	-0.564754	0.575176	-0.007062	-0.261612	0.79487	-0.159649	-0.29538	0.769125	-2.243241	-0.856882	0.39626
hsa-miR-1	ABHD15	48	5	1.444316	5.817103	16.930861	1.238543e-20	-0.005036	-0.095061	0.924708	0.00056	0.019347	0.984654	-0.600312	-1.035539	0.306206	-3.228824	-1.149912	0.256535
hsa-miR-1	ABHD16A	48	5	0.4023	6.199856	33.194599	2.797944e-32	-0.009814	-0.340794	0.734918	-0.009071	-0.576346	0.567386	-0.285724	-0.906671	0.369634	-0.013143	-0.008611	0.99317
hsa-miR-1	ABHD16B	48	5	1.048857	2.882215	6.053793	3.053595e-07	0.104786	1.427411	0.160684	0.022994	0.573165	0.569519	-0.416622	-0.518634	0.606675	-1.563371	-0.401801	0.68982
hsa-miR-1	ABHD17A	48	5	1.620316	10.618414	37.612648	1.547121e-34	-0.061331	-1.408969	0.166035	0.027331	1.148926	0.256938	-0.513808	-1.078679	0.286745	-1.542246	-0.668461	0.507412
hsa-miR-1	ABHD17B	48	5	1.754149	6.003332	14.775058	1.865662e-18	-0.126524	-2.019549	0.04969	0.057168	1.669728	0.102239	-0.535143	-0.780592	0.439319	3.734338	1.124601	0.266997
hsa-miR-1	ABHD17C	48	5	0.917925	5.495236	10.170881	5.148585e-13	-0.085011	-1.020449	0.313223	-0.060037	-1.318717	0.194244	-0.540801	-0.593235	0.556132	3.600159	0.815346	0.419368
hsa-miR-100	A1BG	48	5	0.708868	6.060492	19.257587	9.17769e-23	-0.073731	-1.520202	0.13578	0.019463	0.752886	0.455621	-0.28282	-0.539973	0.592002	0.441977	0.175316	0.861654
hsa-miR-100	A1BG-AS1	48	5	0.806984	4.966135	14.240105	7.001913e-18	-0.00593	-0.110337	0.912656	0.041368	1.444081	0.155963	0.648763	1.117761	0.269875	-0.672745	-0.240809	0.810848
