symbol	GSM2226789	GSM2774696	GSM1855320	GSM2774692	GSM2774693	GSM2477391	GSM2700242	GSM2195412	GSM2195413	GSM2700241	GSM2226790	GSM2226787	GSM3936839	GSM2700245	GSM3685851	GSM1855317	GSM3685848	GSM1855318	GSM2195415	GSM3685853	GSM2477390	GSM2774694	GSM2700244	GSM2195410	GSM3936840
AASDHPPT	7.619782164	7.673881479	7.753384605	7.899019698	8.060925166	7.44978449	7.650185675	7.747364891	7.870252757	7.447555125	7.702487925	7.71161738	7.916690115	8.117880764	7.763232496	7.99732124	7.414706704	7.798946717	7.756082436	7.525090065	7.8675481	7.472661395	7.79046362	7.646734109	7.370949694
AASS	2.929069987	2.935480375	2.65924458	2.96258361	2.2896768	2.765110098	2.923860448	2.800419314	2.862023345	2.612553855	2.766724747	2.874154036	3.627654643	2.362415548	2.532029246	2.781842404	2.60233763	2.923443465	2.881898063	3.30884383	2.809814645	2.523218605	2.710382677	2.942484205	2.2913517
AATF	8.507966578	8.340839179	9.011861741	8.653407478	8.545957415	8.978578935	8.88361835	9.051809463	8.864495635	8.865630933	8.973059351	8.914004525	8.398849474	8.758104073	8.419594077	8.654337597	8.543109355	8.825807525	8.859663312	8.588244059	9.069830418	8.462404558	8.985537844	8.627534746	8.735548034
AATK	8.284828682	8.295001099	8.285977525	8.439063179	8.237233871	8.197099469	8.856225737	7.975845898	8.235096309	8.410827669	8.305310888	8.187967115	7.618252528	8.300103513	8.516984874	8.083891237	8.239608249	8.345361186	7.513062874	8.146839609	8.163753163	8.456276033	8.352181208	8.062822012	7.839727282
AB074162	6.99557935	6.531052194	7.192373282	6.628402114	5.01869673	7.144085123	5.694571569	6.21342704	7.139309807	6.598069325	7.412692543	6.667803245	6.841436213	6.031764937	5.823165311	6.608155167	6.819890977	6.057012467	7.370914532	6.083570338	6.93680279	6.699788726	6.959519173	5.805965041	6.796438788
AB488780	5.819683378	5.149169017	6.061595798	5.797684157	5.743651561	6.120934955	5.916150484	6.283068541	6.121399014	5.922934407	6.192372394	5.965218547	5.914048129	5.850121869	5.57402912	5.978583333	5.735656462	6.190551161	5.778654211	5.949187566	6.213269741	5.609938007	6.331647719	6.046918767	6.085006491
ABAT	7.886772336	8.186093922	8.445989001	8.268006622	7.920978856	8.107532411	8.920390141	8.051160145	8.335100795	8.904945364	8.113448358	8.255123293	7.155712762	8.517477702	7.813050066	8.223570353	8.20901096	8.497441039	7.497708295	7.550643404	8.409684672	8.0358797	8.547895472	8.245923233	7.448506361
ABCA1	6.059421146	5.636714935	5.140252755	5.544239465	5.82863121	5.544741292	6.622807701	5.202053284	4.805192788	5.898671694	5.598923613	4.87369432	5.400744606	5.733710424	6.145103838	4.614303279	4.892313722	4.707354835	5.123604131	5.160119196	4.92111503	5.459345385	5.708534818	5.668278953	5.67240163
ABCA11P	4.419492238	4.580400805	3.757793432	4.138912685	3.673646453	4.166676427	4.01063742	4.02930923	4.168995222	3.915666968	4.381243251	3.98223799	4.500914347	4.009904386	4.414609441	4.013898138	4.063740286	4.856803284	4.062346443	4.18690764	3.974574651	4.142240291	4.447072408	4.059912861	3.347718005
ABCA12	2.036742444	2.137927575	2.179227244	1.856416575	1.732036252	2.346785254	1.919772734	2.45806006	1.827100207	2.476610041	1.690547767	1.626735995	1.91828744	1.782025631	1.644323166	1.867619573	2.518056981	2.238850673	1.921595342	1.940693792	1.886479263	2.070724048	1.73756186	2.124565495	2.001915289
ABCA13	1.708808536	1.664515467	1.429502393	1.742549359	1.937133337	1.466989374	1.546423324	1.86530328	1.743235849	1.597226941	1.758649248	1.854547686	1.526989387	1.63780557	1.636620183	1.697067793	1.946971378	1.906068506	2.051954438	1.627963206	1.743847058	1.589105154	2.012274076	1.68220563	1.66347568
ABCA17P	3.677616265	2.79061703	3.630044127	4.216752282	3.051042636	2.923155557	3.079728454	3.512079677	3.750616042	3.762837011	3.552062751	3.128714784	3.373806855	3.800837086	3.214488955	3.518698879	3.738184564	3.569138248	3.700880932	3.222941265	3.45243801	3.577397381	3.299209188	3.263730193	3.399964073
ABCA2	4.832593692	4.813836646	5.235638482	5.125201458	4.899710996	5.071673019	5.012659182	5.005236071	4.764083134	5.119299095	4.655774522	4.600698419	4.570526118	4.865750562	5.117692365	4.588229623	5.221901937	4.958734579	4.896744078	5.010516351	4.298079507	5.207783343	5.159381382	4.816861445	4.771856641
ABCA3	5.14573703	5.472952892	5.762252552	5.540520334	5.246023041	5.859248723	5.07744446	5.775969299	5.479235597	5.212905522	6.022740864	5.521437268	5.633810189	5.15249289	5.455262007	5.564024671	5.643064266	5.774891485	5.482810088	5.740321891	5.9076205	5.54067158	5.363432262	5.849211484	5.346948911
ABCA4	3.368063033	3.625342087	3.625102898	3.472254933	3.70645976	3.726706946	3.21325435	3.126274447	3.60883393	3.268942519	3.741539435	3.445500843	3.33079576	2.997808592	3.279777521	3.494168422	4.036309625	3.448116384	3.544114965	3.480161895	2.98819046	3.462595954	3.403017752	3.54789452	3.429934804
ABCA5	4.863495968	4.670913564	4.671542873	5.005257452	4.636853391	4.934959768	4.967868816	4.851742153	4.93560108	4.611234879	4.851474471	4.520321875	5.253232988	4.356532138	4.78004875	4.736269904	4.929309875	4.984981324	4.657787908	4.739757553	5.211383644	5.525361688	4.933415391	4.722099254	4.435193142
ABCA6	2.121461529	2.203176578	2.199867898	2.993807272	2.568935259	2.161859039	2.385997823	2.791819907	2.560774321	1.975474062	2.483476532	2.537049565	2.787052365	2.162826965	2.459268776	2.647729125	2.434996785	2.602580717	2.171256227	2.253819944	1.897546767	2.443403171	2.572352926	2.579911504	2.531400856
ABCA7	8.083958189	8.372157919	8.455780545	8.593895285	8.243915393	8.833551832	8.607912553	8.412494964	8.642527049	8.384132977	8.439289659	8.834175769	8.25731746	8.291193414	8.398022039	8.078643714	8.271133673	8.211148458	8.148251258	8.410281946	8.420898348	8.910130241	8.587472163	8.75400839	8.420217674
ABCA8	2.713223488	3.255322947	2.628534481	2.354884516	2.783683816	2.871398356	3.180446889	2.935244625	2.832869279	2.722777638	2.577014775	2.931631849	2.85811156	2.87257553	2.460166195	2.700193402	2.690449867	2.743693292	2.825547253	2.633672668	2.800101839	2.880003753	2.680223286	3.265383242	2.660121091
ABCA9	1.898951848	2.631489368	2.532606047	2.120212447	1.765917101	2.380561923	2.326089712	1.919807894	2.284276601	2.122441211	2.199387198	2.247060114	2.450642334	2.133980571	1.964344902	2.268554825	2.471419524	2.258357443	2.029364786	2.014357359	2.78909721	2.178493492	1.892821448	2.376200221	2.097180039
ABCB1	4.798515772	5.059498468	5.333827278	5.329451002	4.093892719	5.098336354	5.060740866	5.278480308	4.914867852	5.016118912	6.033680984	5.273287697	4.802672583	4.691265855	4.897162246	5.038403721	5.173587716	5.397842993	5.543601485	4.625287634	5.554114145	5.433123889	5.398016427	4.766161994	4.105635969
ABCB10	7.875159408	7.512763223	6.214399912	6.992795648	7.215629251	6.386842659	6.349418909	6.78511059	6.192263338	6.600082465	6.112605126	5.967633565	7.762523483	6.931631958	7.841665884	6.607599037	7.205362626	6.289406536	6.449102076	5.649728644	6.683881604	7.437751717	6.117788982	6.287215775	5.782718314
ABCB11	3.073760093	3.313022241	3.652635433	3.460400843	3.459154991	3.368646446	3.202963527	3.244649704	3.104855951	3.161299122	2.891962119	3.170799924	3.243424898	3.472571967	3.53594884	3.249968418	3.303444332	3.076105865	3.564557297	3.355467964	3.357936615	3.379735459	2.801840192	3.42761241	3.226890598
ABCB4	5.141477097	5.126014291	4.539636153	5.014517274	4.553651847	4.73427893	4.454806178	5.12045011	4.776417484	4.659014919	4.778529088	4.978091173	5.419825847	5.078051484	4.70043293	5.132687222	5.055414305	5.537480985	4.818341951	5.52116746	5.059228536	5.170185911	4.751677998	5.816957672	5.92267556
ABCB5	2.547816336	2.719212673	2.669185008	2.703296565	3.089208681	2.908033199	2.841178909	3.123793953	2.85761251	2.850747839	2.722343875	2.805020678	2.873654694	2.744897792	2.885504548	2.791701892	2.611448792	2.807124249	2.751144166	2.779265674	2.769383332	2.902494218	3.084169892	2.901833874	2.713089336
ABCB6	4.584740171	4.740937393	4.641306319	4.733197304	4.628637479	4.717976342	4.732730215	4.798294075	4.638000707	4.537133007	4.835806836	4.892656082	4.612970403	4.525378372	5.13280733	4.961235779	4.861541893	4.172603293	4.071597216	5.057016152	4.618285167	4.719504405	4.300834928	4.480327504	4.967878588
ABCB7	7.361898175	7.441660672	7.338072351	7.463745942	7.620688887	7.220720521	6.915372065	7.544909193	7.295599615	7.292189275	7.036791831	7.359255937	7.848453963	7.615859424	7.34349428	7.418944679	7.264930894	7.365266211	7.594278021	7.425704655	7.438747763	7.37944678	7.440398662	7.298216117	7.518449772
ABCB8	4.506978284	4.755207482	4.291466432	4.45959854	4.220087791	4.200381343	4.765923975	4.227077548	4.795331173	4.585403615	4.637205979	4.196671865	4.590896407	3.981371806	4.097681767	4.613410524	4.797293188	4.48360697	4.815757194	3.997367826	4.707650238	4.034247364	4.400216256	4.199245826	4.858324036
ABCB9	4.843194928	4.629429431	4.688355102	4.433389966	4.290344512	5.054845741	4.816669133	4.822363582	4.556076637	4.998660541	4.8642773	4.82470035	4.459234094	4.533725658	4.3838928	4.798430541	4.677411965	4.925456065	4.916106505	4.581941712	4.473952238	4.424800118	4.731089595	4.875265054	4.860246025
ABCC1	6.328656289	6.29825754	6.584232045	6.546562761	6.812446606	6.76905083	6.275000932	6.88799682	6.622591977	6.494691607	6.452857201	6.496274183	6.43314022	6.38721357	6.355301348	6.320725908	6.479261183	6.570360383	6.787230789	6.418283299	6.866893694	6.948798375	6.56676478	6.596486405	6.340570608
ABCC10	6.392319033	6.708264785	6.548811789	6.556860103	6.549703106	6.775023879	6.45811954	6.838978825	6.864538813	6.838287653	7.06359253	7.041485129	6.77548654	6.51271353	6.621893943	6.441416348	6.763663245	6.367901589	6.74466874	6.60139984	7.018351732	6.279546438	6.984645432	6.908295429	6.674645013
ABCC11	3.76616069	3.56888595	3.651225618	3.439349829	3.422289684	3.918280876	3.730443895	3.844267407	3.883811333	3.535345292	3.530747442	3.293686272	2.658979668	3.58596594	3.638756684	3.834965946	3.349927939	3.578268918	3.700648444	3.608169272	3.190317656	3.648122937	3.705515372	4.093578293	3.461933955
ABCC12	3.054450091	2.74734468	2.896051023	2.640798424	2.936372455	2.816758867	2.800023532	2.840915079	2.85533591	2.869311543	2.860889742	2.72633638	2.869582994	2.594309619	2.809034859	2.66204177	2.608522064	2.730057568	2.46305568	2.654240256	2.92433941	2.401411036	2.436481135	2.779285618	2.622907546
ABCC13	4.82487414	4.345733808	4.535856735	4.201706738	4.310085418	3.876376633	3.809049766	4.019508042	4.226559037	4.4980246	4.412520405	5.448618033	4.97694091	4.33882383	5.391645473	4.321889597	6.102098918	5.263084181	4.432404296	4.444683839	4.338443488	4.314696481	3.64977306	4.549867974	5.339213729
ABCC2	4.640986811	4.893933875	4.552713738	4.642680893	4.185415059	4.098756177	4.728119853	4.505328735	4.392635677	4.296037435	4.477772101	4.335823197	4.578069348	4.386354121	4.506918326	3.682623004	4.246822639	4.505234622	3.130046683	4.604064153	4.337900907	4.293063229	4.666919164	3.75522117	4.525440594
ABCC3	5.98951296	6.047539895	6.176529505	5.729008635	5.454962017	5.725648186	6.044917288	5.814538636	5.978248501	5.863738145	5.591048868	5.941238373	5.504938031	5.595018786	5.579506627	6.0696524	5.922206227	5.935941986	5.891877075	5.665285347	5.734455048	5.328082168	5.836742994	5.657590532	5.947229646
ABCC4	5.669115799	5.407169953	4.376723373	4.925482889	5.03516866	4.590564431	4.263817055	4.954546088	4.540606518	4.310943689	4.198715839	4.679521143	5.33336625	4.826972097	5.982395057	4.885185034	4.653296984	5.562884765	4.062792365	4.73810129	5.137919029	4.7969228	4.428097856	4.271734736	5.205179557
ABCC5	6.986378902	7.152428242	6.087325282	6.610772733	6.077010188	6.905427627	6.71792538	6.797718864	6.481945531	6.89595219	6.172120308	6.414475669	6.520864343	6.919238952	7.029289315	6.496798487	6.647429132	6.90752996	5.799748797	6.783173093	6.400284825	7.114034789	6.607915354	6.505923789	5.993975934
ABCC6	4.269850349	4.450247134	4.555680398	4.77071499	4.810463001	4.652954269	4.627107165	4.376979119	5.008020278	4.666493247	4.980964205	4.531549689	4.0704024	4.68937699	4.526438055	4.251995525	4.30307854	4.749892562	4.666172632	4.588320612	4.430034004	4.368909123	4.398221015	4.293927599	4.211809823
ABCC6P1	3.492345287	3.729495094	3.738396866	3.62742264	3.930834075	3.737065341	3.726160905	3.409383277	3.60114159	3.694224568	3.957019033	3.695344568	3.834727743	3.823634062	3.439028402	3.859006038	3.870697271	3.656623	3.835347543	3.584132937	3.416882546	3.314183839	3.531666598	3.358325825	3.411977264
ABCC6P2	4.827657197	5.296919895	4.479381913	5.128834878	5.394686484	5.078607588	5.094035336	4.808673256	5.17639049	5.186221007	5.518514971	5.105699497	4.697563591	5.17009343	4.889645177	4.76204553	5.166031611	4.874844822	5.037264002	4.788080018	4.625359645	4.523155647	5.041504393	4.365838053	4.640584806
