Marker1	Marker2	Correlation	Lower	Upper	t-statistic
hsa-miR-100	hsa-miR-1229	0.403913	0.141466	0.613311	3.059033
hsa-miR-100	hsa-miR-1231	0.900038	0.829498	0.942315	14.308159
hsa-miR-100	hsa-miR-1233	0.462705	0.211606	0.656503	3.616095
hsa-miR-100	hsa-miR-1234	0.797602	0.667428	0.880476	9.161288
hsa-miR-100	hsa-miR-1236	-0.178023	-0.434828	0.105561	-1.253398
hsa-miR-100	hsa-miR-1237	0.561623	0.335759	0.726416	4.702767
hsa-miR-100	hsa-miR-1238	0.376118	0.109197	0.592445	2.812322
hsa-miR-100	hsa-miR-124	0.831297	0.719411	0.901133	10.361806
hsa-miR-100	hsa-miR-124*	0.707831	0.534860	0.823861	6.942411
hsa-miR-100	hsa-miR-1243	0.871561	0.783218	0.925408	12.315950
hsa-miR-100	hsa-miR-1244	0.644292	0.445909	0.782340	5.836701
hsa-miR-100	hsa-miR-1245	0.757207	0.606736	0.855290	8.031661
hsa-miR-100	hsa-miR-1246	0.686902	0.505131	0.810321	6.548333
hsa-miR-100	hsa-miR-1247	0.117817	-0.165979	0.383590	0.821982
hsa-miR-100	hsa-miR-1248	0.174765	-0.108884	0.432098	1.229732
hsa-miR-100	hsa-miR-1249	0.465138	0.214565	0.658263	3.640340
hsa-miR-100	hsa-miR-1250	0.076004	-0.206722	0.347016	0.528102
hsa-miR-100	hsa-miR-1251	0.896816	0.824213	0.940413	14.044503
hsa-miR-100	hsa-miR-1252	0.599143	0.384998	0.752070	5.184569
hsa-miR-100	hsa-miR-1253	0.427364	0.169130	0.630691	3.275000
hsa-miR-100	hsa-miR-1254	0.552036	0.323374	0.719786	4.586866
hsa-miR-100	hsa-miR-1255a	-0.236076	-0.482709	0.045250	-1.683157
hsa-miR-100	hsa-miR-1255b	-0.297951	-0.532168	-0.021371	-2.162486
hsa-miR-100	hsa-miR-1256	0.014147	-0.265250	0.291352	0.098023
hsa-miR-100	hsa-miR-1257	0.239743	-0.041370	0.485685	1.710887
hsa-miR-100	hsa-miR-1258	0.132679	-0.151260	0.396392	0.927423
hsa-miR-100	hsa-miR-1259_v15.0	0.862500	0.768696	0.919984	11.808125
hsa-miR-100	hsa-miR-125a-3p	0.277977	-0.000407	0.516375	2.004897
hsa-miR-100	hsa-miR-125a-5p	0.716447	0.547225	0.829397	7.114960
hsa-miR-100	hsa-miR-125b	0.870176	0.780993	0.924581	12.235166
hsa-miR-100	hsa-miR-125b-1*	0.741414	0.583477	0.845315	7.654704
hsa-miR-100	hsa-miR-125b-2*	0.890544	0.813960	0.936702	13.563198
hsa-miR-100	hsa-miR-126	0.695688	0.517559	0.816021	6.709688
hsa-miR-100	hsa-miR-126*	0.785676	0.649328	0.873089	8.798878
hsa-miR-100	hsa-miR-1260	0.720654	0.553289	0.832092	7.201609
hsa-miR-100	hsa-miR-1261	-0.314928	-0.545465	-0.040090	-2.298862
hsa-miR-100	hsa-miR-1262	0.377336	0.110601	0.593366	2.822947
