Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1
LINC00364	AADACL2	50	2	0.068334	2.007527	11.902155	6.278057e-16	0.006296	0.261408	0.794896
LINC00364	AADACP1	50	2	2.820387	2.701629	12.277757	2.028286e-16	-0.052765	-1.679401	0.099573
LINC00364	AADAT	50	2	0.282928	3.313766	18.350092	2.471277e-23	-0.013715	-0.53191	0.597242
LINC00364	AAED1	50	2	0.738524	6.745835	34.616421	1.324692e-35	-0.023912	-0.859375	0.394406
LINC00364	AAGAB	50	2	7.417861	4.762732	34.707134	1.173849e-35	0.053365	2.723576	0.008979
LINC00364	AAK1	50	2	8.57524	6.096583	27.010397	1.107846e-30	-0.094376	-2.928352	0.005198
LINC00364	AAMDC	50	2	5.612141	4.476275	27.602396	4.16212e-31	0.054855	2.368996	0.021908
LINC00364	AAMP	50	2	0.19162	7.913833	83.449516	1.289253e-53	-0.005927	-0.437744	0.663535
LINC00364	AANAT	50	2	0.873232	2.953925	15.542489	2.314433e-20	-0.025359	-0.934469	0.354739
LINC00364	AAR2	50	2	0.176047	7.249641	80.085556	9.163987e-53	-0.005423	-0.419579	0.676665
LINC00364	AARS	50	2	11.749177	8.226723	69.067566	1.050558e-49	-0.058296	-3.427707	0.001258
LINC00364	AARS2	50	2	6.885423	6.750681	53.330601	2.203052e-44	-0.047426	-2.624008	0.011618
LINC00364	AARSD1	50	2	0.598182	6.19655	47.133827	7.42213e-42	-0.014518	-0.773422	0.443065
LINC00364	AASDH	50	2	0.002514	6.743618	45.79668	2.868633e-41	0.001054	0.05014	0.960219
LINC00364	AASDHPPT	50	2	0.263242	7.763033	54.926151	5.472761e-45	-0.010354	-0.513071	0.610255
LINC00364	AASS	50	2	0.187537	2.79481	15.8027	1.185197e-20	-0.010936	-0.433055	0.666915
LINC00364	AATF	50	2	0.358	8.832484	73.64209	4.974884e-51	-0.010247	-0.598328	0.552434
LINC00364	AATK	50	2	6.36457	7.820854	53.335651	2.193223e-44	0.05282	2.522809	0.01501
LINC00364	AB074162	50	2	2.144246	7.133283	20.625174	1.681351e-25	-0.072312	-1.464324	0.149625
LINC00364	AB488780	50	2	2.657363	6.160139	47.266308	6.504699e-42	-0.030335	-1.630141	0.109617
LINC00364	ABAT	50	2	3.026967	7.788364	30.982506	2.171845e-33	0.062447	1.739818	0.0883
LINC00364	ABCA1	50	2	8.693576	4.778875	20.753965	1.284444e-25	0.09694	2.948487	0.00492
LINC00364	ABCA11P	50	2	0.066598	4.133369	20.033674	5.893254e-25	0.007602	0.258065	0.79746
LINC00364	ABCA12	50	2	1.732417	2.170292	13.302044	1.020556e-17	-0.030662	-1.316213	0.194353
LINC00364	ABCA13	50	2	0.643201	1.899383	14.019095	1.36149e-18	-0.015515	-0.801999	0.426507
LINC00364	ABCA17P	50	2	0.564045	3.769492	16.255053	3.769185e-21	-0.024868	-0.751029	0.456301
LINC00364	ABCA2	50	2	3.046651	4.686563	36.288509	1.493559e-36	0.032187	1.745466	0.087303
LINC00364	ABCA3	50	2	11.393046	5.967063	48.928246	1.279979e-42	-0.058776	-3.375359	0.001468
LINC00364	ABCA4	50	2	0.420041	3.498086	28.003239	2.167635e-31	-0.01156	-0.648106	0.520004
LINC00364	ABCA5	50	2	0.233354	4.837011	30.183622	7.167024e-33	-0.011053	-0.483068	0.631244
LINC00364	ABCA6	50	2	0.032017	2.35328	13.52848	5.365296e-18	0.004444	0.178934	0.858743
LINC00364	ABCA7	50	2	0.412894	8.371816	61.608536	2.386263e-47	0.012468	0.642569	0.523562
LINC00364	ABCA8	50	2	0.565797	2.688906	20.886442	9.750643e-26	0.013827	0.752195	0.455607
LINC00364	ABCA9	50	2	0.061935	2.208791	14.744775	1.889371e-19	-0.005323	-0.248867	0.804525
LINC00364	ABCB1	50	2	4.319729	5.657077	24.42161	1.011541e-28	-0.068743	-2.078397	0.043042
LINC00364	ABCB10	50	2	0.358643	6.411421	17.773298	9.439899e-23	0.030846	0.598868	0.552077
LINC00364	ABCB11	50	2	0.036542	3.274751	28.829939	5.792217e-32	-0.0031	-0.19116	0.849206
LINC00364	ABCB4	50	2	0.916543	5.238122	18.934002	6.570765e-24	-0.037817	-0.957363	0.343182
