Marker1	Marker2	sampleSize	variableSize	F	coefficient.0	tvalue.0	pvalue.0	coefficient.1	tvalue.1	pvalue.1	coefficient.2	tvalue.2	pvalue.2	coefficient.3	tvalue.3	pvalue.3	coefficient.4	tvalue.4	pvalue.4
cg02842889	ABCA4	48	5	0.232019	3.436746	64.745148	1.687201e-44	0.001134	0.003649	0.997106	-0.010367	-0.468534	0.641769	-0.001846	-0.004234	0.996641	1.474757	0.675248	0.503134
cg02842889	ABCA5	48	5	0.697375	4.770453	70.213814	5.330843e-46	-0.122618	-0.308303	0.75934	0.001616	0.057067	0.954756	-0.648851	-1.162754	0.251342	4.509865	1.613279	0.114
cg02842889	ABCA6	48	5	1.144149	2.433064	34.043831	9.817404e-33	0.538166	1.286359	0.205201	-0.04969	-1.667895	0.102604	-0.332442	-0.566345	0.574104	-2.181391	-0.741825	0.462226
cg02842889	ABCA7	48	5	1.387371	8.477414	166.912872	4.179359e-62	0.092638	0.311584	0.756862	0.00555	0.262141	0.794465	-0.597637	-1.432664	0.159184	-1.447538	-0.692691	0.492228
cg02842889	ABCA8	48	5	0.330865	2.791208	50.411022	6.925714e-40	0.165365	0.510196	0.612523	-0.012576	-0.544861	0.588664	0.183287	0.403038	0.688917	-2.184381	-0.958837	0.343001
cg02842889	ABCA9	48	5	1.252826	2.207325	35.854763	1.138548e-33	-0.547759	-1.519954	0.135842	0.014503	0.565135	0.574919	-0.730656	-1.44502	0.155701	3.029324	1.19594	0.238273
cg02842889	ABCB1	48	5	3.087908	5.22452	56.418709	5.868782e-42	-0.364451	-0.672322	0.504976	0.025926	0.671634	0.50541	-1.896177	-2.493079	0.016593	-0.352063	-0.092402	0.926808
cg02842889	ABCB10	48	5	0.590108	6.704004	43.659519	2.986683e-37	-0.774398	-0.861528	0.393726	-0.026185	-0.409087	0.684506	0.264023	0.209347	0.835166	6.364899	1.00744	0.319359
cg02842889	ABCB11	48	5	1.282434	3.206898	71.006584	3.302771e-46	0.172828	0.653716	0.516776	0.016895	0.897397	0.374504	0.736504	1.985495	0.05349	-2.767882	-1.489512	0.143651
cg02842889	ABCB4	48	5	1.595249	5.115693	45.186153	7.026558e-38	-0.32887	-0.496234	0.622257	-0.061656	-1.30644	0.198348	0.746705	0.803027	0.426376	-7.399946	-1.588592	0.119479
cg02842889	ABCB5	48	5	0.904667	2.757279	65.172737	1.274834e-44	-0.238842	-0.964398	0.340239	0.030827	1.747973	0.087606	0.263367	0.757927	0.452629	-0.028771	-0.016528	0.98689
cg02842889	ABCB6	48	5	1.654026	4.716937	79.626396	2.483648e-48	-0.588884	-1.698193	0.096698	0.02114	0.856096	0.39669	-0.626229	-1.287094	0.204947	0.815896	0.334745	0.739445
cg02842889	ABCB7	48	5	1.128786	7.495737	145.795502	1.389329e-59	-0.284008	-0.943674	0.350609	-0.026441	-1.233747	0.223998	0.356342	0.843873	0.403411	0.582111	0.275181	0.784495
cg02842889	ABCB8	48	5	0.143696	4.42085	64.614944	1.83817e-44	-0.156138	-0.38985	0.698572	-0.006447	-0.226052	0.822232	0.132097	0.235072	0.815269	1.084521	0.385255	0.701948
cg02842889	ABCB9	48	5	0.883247	4.807046	85.369286	1.266405e-49	-0.45821	-1.390107	0.171651	-0.012866	-0.548118	0.586446	-0.41638	-0.900313	0.372968	1.649187	0.71183	0.480414
cg02842889	ABCC1	48	5	1.000835	6.490899	155.470291	8.814277e-61	0.062129	0.254213	0.800542	0.026377	1.51559	0.13694	0.26457	0.771549	0.444601	-2.373617	-1.381772	0.174179
cg02842889	ABCC10	48	5	1.167548	6.726663	120.652176	4.669948e-56	-0.372685	-1.141928	0.259803	0.024953	1.073687	0.288951	-0.442895	-0.9672	0.338853	-0.038611	-0.016832	0.986649
cg02842889	ABCC11	48	5	0.444032	3.494349	57.437489	2.745483e-42	0.08445	0.237131	0.813681	0.024899	0.981795	0.331693	-0.19643	-0.393113	0.696178	-0.719031	-0.28725	0.775301
cg02842889	ABCC12	48	5	1.668019	2.658072	49.683472	1.280759e-39	-0.070655	-0.225605	0.822577	0.036067	1.617199	0.113149	-0.08186	-0.186294	0.85309	3.608406	1.639244	0.10846
cg02842889	ABCC13	48	5	0.204464	4.509405	36.631924	4.659207e-34	0.376001	0.521783	0.604499	0.01358	0.264638	0.792552	-0.419497	-0.414906	0.680274	-1.376132	-0.271696	0.787156
cg02842889	ABCC2	48	5	0.643355	4.338165	55.781357	9.504222e-42	-0.236255	-0.518949	0.606457	0.021875	0.674756	0.503443	-0.60808	-0.951972	0.346432	4.261178	1.331667	0.189986
cg02842889	ABCC3	48	5	3.013091	5.74152	110.289581	2.193068e-54	0.037577	0.123309	0.902437	0.028539	1.315097	0.195447	0.646046	1.510954	0.138115	-6.901877	-3.22224	0.002427
cg02842889	ABCC4	48	5	0.376836	4.747588	41.601395	2.272716e-36	0.521308	0.780351	0.439459	-0.020402	-0.428871	0.670158	0.248485	0.265103	0.792197	1.373721	0.292561	0.771265
cg02842889	ABCC5	48	5	0.469589	6.602312	74.359772	4.613088e-47	-0.341113	-0.656297	0.51513	-0.018397	-0.497048	0.621687	-0.648035	-0.888629	0.379147	4.2106	1.152575	0.255452
cg02842889	ABCC6	48	5	2.629395	4.473114	83.324257	3.570348e-49	0.836205	2.660938	0.010911	-0.012266	-0.5481	0.586458	-0.320367	-0.726589	0.471415	2.264266	1.025113	0.311042
cg02842889	ABCC6P1	48	5	2.523708	3.606426	72.755302	1.170056e-46	0.539515	1.859309	0.069835	-0.040026	-1.937038	0.059328	-0.163408	-0.401367	0.690138	2.785107	1.365565	0.179177
cg02842889	ABCC6P2	48	5	3.693431	4.958157	62.029045	1.045192e-43	1.021719	2.183569	0.034498	-0.087406	-2.623168	0.012005	-0.621961	-0.947367	0.348746	5.776074	1.756267	0.086163
cg02842889	ABCC8	48	5	0.284072	4.759505	98.272812	3.069426e-52	0.101768	0.358958	0.721383	-0.010491	-0.519638	0.605981	0.253401	0.63703	0.527482	-0.125792	-0.063126	0.949959
