Marker1	Marker2	Correlation	Lower	Upper	t-statistic
LINC00271	LINC00440	0.344218	0.072845	0.568135	2.540036
LINC00271	LINC00442	0.687971	0.506639	0.811015	6.567665
LINC00271	LINC00443	0.666555	0.476636	0.797029	6.194899
LINC00271	LINC00445	0.674206	0.487304	0.802042	6.324657
LINC00271	LINC00446	0.528285	0.293021	0.703228	4.310687
LINC00271	LINC00448	0.769124	0.624460	0.862768	8.337733
LINC00271	LINC00449	0.554190	0.326149	0.721278	4.612666
LINC00271	LINC00454	0.501957	0.259921	0.684649	4.020914
LINC00271	LINC00456	0.328980	0.055730	0.556383	2.413584
LINC00271	LINC00457	0.385892	0.120480	0.599816	2.898003
LINC00271	LINC00458	0.197407	-0.085652	0.450979	1.395129
LINC00271	LINC00459	0.224874	-0.057050	0.473583	1.598924
LINC00272	LINC00273	0.554889	0.327051	0.721762	4.621069
LINC00272	LINC00276	0.186516	-0.096866	0.441925	1.315299
LINC00272	LINC00278	0.334142	0.061510	0.560374	2.456176
LINC00272	LINC00280	0.318959	0.044563	0.548605	2.331595
LINC00272	LINC00290	0.132398	-0.151539	0.396151	0.925431
LINC00272	LINC00293	0.690982	0.510892	0.812970	6.622553
LINC00272	LINC00294	-0.082003	-0.352313	0.200936	-0.570051
LINC00272	LINC00297	0.528717	0.293569	0.703531	4.315581
LINC00272	LINC00298	-0.397522	-0.608539	-0.133996	-3.001456
LINC00272	LINC00299	0.232094	-0.049454	0.479470	1.653132
LINC00272	LINC00301	-0.153288	-0.413977	0.130638	-1.074714
LINC00272	LINC00303	0.335823	0.063396	0.561672	2.470097
LINC00272	LINC00304	0.255667	-0.024424	0.498540	1.832203
LINC00272	LINC00305	0.526424	0.290663	0.701923	4.289675
LINC00272	LINC00308	-0.524145	-0.700322	-0.287778	-4.264038
LINC00272	LINC00309	0.122122	-0.161729	0.387309	0.852464
LINC00272	LINC00310	0.746350	0.590719	0.848441	7.769276
LINC00272	LINC00311	0.055946	-0.225924	0.329173	0.388216
LINC00272	LINC00313	0.193383	-0.089804	0.447639	1.365571
LINC00272	LINC00314	0.379163	0.112705	0.594746	2.838899
LINC00272	LINC00315	0.684324	0.501499	0.808644	6.502032
LINC00272	LINC00319	0.595467	0.380119	0.749577	5.135198
LINC00272	LINC00320	0.202555	-0.080327	0.455240	1.433046
LINC00272	LINC00322	0.521286	0.284166	0.698313	4.232074
LINC00272	LINC00324	0.001729	-0.276757	0.279947	0.011978
LINC00272	LINC00326	0.570976	0.347919	0.732854	4.818509
LINC00272	LINC00327	0.634124	0.432029	0.775579	5.681794
LINC00272	LINC00330	0.127035	-0.156864	0.391543	0.887314
LINC00272	LINC00331	0.243492	-0.037395	0.488721	1.739314
LINC00272	LINC00332	0.222580	-0.059456	0.471707	1.581757
LINC00272	LINC00334	0.309170	0.033719	0.540968	2.252342
LINC00272	LINC00337	0.064038	-0.218204	0.336394	0.444582
LINC00272	LINC00339	0.154965	-0.128949	0.415400	1.086760
LINC00272	LINC00342	0.590261	0.373230	0.746039	5.066133
LINC00272	LINC00343	0.452363	0.199077	0.648996	3.514174
LINC00272	LINC00345	0.732376	0.570280	0.839574	7.451972
LINC00272	LINC00346	0.192278	-0.090942	0.446722	1.357472
LINC00272	LINC00347	0.242904	-0.038019	0.488245	1.734850
LINC00272	LINC00348	0.626903	0.422229	0.770758	5.574799
LINC00272	LINC00350	0.193431	-0.089754	0.447679	1.365924
LINC00272	LINC00351	0.175235	-0.108406	0.432492	1.233142
LINC00272	LINC00353	0.433202	0.176082	0.634986	3.329993
LINC00272	LINC00354	0.251711	-0.028649	0.495357	1.801921
LINC00272	LINC00355	0.254850	-0.025297	0.497884	1.825945
LINC00272	LINC00358	0.293027	0.015978	0.528290	2.123359
LINC00272	LINC00362	0.469506	0.219891	0.661419	3.684141
LINC00272	LINC00363	0.461007	0.209543	0.655273	3.599232
LINC00272	LINC00364	0.383020	0.117158	0.597654	2.872710
LINC00272	LINC00365	0.621638	0.415115	0.767233	5.498294
LINC00272	LINC00366	-0.001729	-0.279947	0.276757	-0.011978
LINC00272	LINC00368	0.457117	0.204826	0.652452	3.560798
LINC00272	LINC00370	0.695063	0.516673	0.815616	6.698033
LINC00272	LINC00374	0.331981	0.059088	0.558705	2.438316
LINC00272	LINC00375	0.723156	0.556904	0.833693	7.253919
LINC00272	LINC00376	0.620684	0.413828	0.766593	5.484553
LINC00272	LINC00377	0.660824	0.468682	0.793262	6.100032
LINC00272	LINC00379	0.794319	0.662430	0.878446	9.058755
LINC00272	LINC00380	0.531707	0.297365	0.705626	4.349570
LINC00272	LINC00381	0.421149	0.161759	0.626104	3.217013
LINC00272	LINC00382	-0.351958	-0.574070	-0.081600	-2.605124
LINC00272	LINC00383	0.436862	0.180453	0.637673	3.364730
LINC00272	LINC00384	0.662313	0.470745	0.794242	6.124491
LINC00272	LINC00385	0.616980	0.408842	0.764107	5.431617
LINC00272	LINC00388	0.225173	-0.056736	0.473827	1.601163
LINC00272	LINC00390	0.556953	0.329717	0.723190	4.645977
LINC00272	LINC00391	0.212399	-0.070098	0.463357	1.505905
LINC00272	LINC00392	0.298934	0.022449	0.532941	2.170315
LINC00272	LINC00393	0.004034	-0.274627	0.282070	0.027947
LINC00272	LINC00397	0.186420	-0.096965	0.441845	1.314597
LINC00272	LINC00398	0.494766	0.250978	0.679533	3.944457
LINC00272	LINC00399	0.326538	0.053003	0.554491	2.393525
LINC00272	LINC00400	0.720772	0.553460	0.832168	7.204065
LINC00272	LINC00402	0.389089	0.124186	0.602219	2.926278
LINC00272	LINC00404	0.461306	0.209906	0.655490	3.602199
